AreaCode,Area,StartPinCode,EndPinCode,AreaName
700072,KOLKATA,700072,700072,072 : KOLKATA PRINCEP STREET : 700 072 - 700 072
700073,KOLKATA,700073,700073,073 : KOLKATA TIRETTA BAZAR : 700 073 - 700 073
700074,KOLKATA,700074,700074,074 : KOLKATA MOTIJHEEL: 700 074 - 700 074
700075,KOLKATA,700075,700075,075 : KOLKATA SANTOSHPUR: 600 075 - 600 075
700076,KOLKATA,700076,700076,076 : KOLKATA DAKSHINESWAR : 700 076 - 700 076
700077,KOLKATA,700077,700077,077 : KOLKATA BEDIAPARA : 700 077 - 700 077
700078,KOLKATA,700078,700078,078 : KOLKATA HALTU : 700 078 - 700 078
700079,KOLKATA,700079,700079,079 : KOLKATA ITALGACHA : 700 079 - 700 079
700080,KOLKATA,700080,700080,080 : KOLKATA MALL ROAD: 700 080 - 700 080
700081,KOLKATA,700081,700081,081 : KOLKATA RAJBARI COLONY : 700 081 - 700 081
